label,x_epicenter,y_epicenter,z_epicenter
alcoholic,-1.3075821650919761,-7.842675887426985,0.7886207121789831
aldehydic,-5.753204560058822,3.106072822472459,3.491516604363799
alliaceous,14.632841910780426,-4.732395393268916,9.797963182575417
almond,-4.113220267482596,-0.21534400378315466,-5.156208021444064
animal,1.9411251127545344,7.8374645932373115,-0.5309690480314001
anisic,-5.277479970595444,7.295392140589477,-8.55533464439344
apple,-5.302949174314861,-9.595910395995153,-0.6890367236720876
aromatic,-1.5592605365682624,6.981142347782814,-9.667498289947838
balsamic,-6.081643321664719,1.756189074936447,-4.0527099516542044
banana,-5.537214634367912,-10.503368906300775,-1.1986144586845902
berry,-9.572529397951191,-0.7430287133341855,-5.348937258815404
bitter,1.5498651722511214,3.5590459966936834,-11.52627914648046
burnt,8.60917014175563,-1.333897586687396,-1.961861712722585
camphoreous,-0.260597995859848,5.9220837013775505,-2.461632907223604
caramellic,-0.7998462984839694,-6.768694769781732,-3.366289779174128
cheesy,3.897759135416429,-8.280666385335282,2.0235033738849886
cherry,-4.323519994643245,0.6024354657138247,-7.235776677691619
cinnamon,-5.849216655625005,1.641344538994219,-3.8561625673805877
citrus,-5.764109166870164,2.5301014816124137,4.06365733201051
cooked,14.017763998942605,-5.599783421832689,10.618198698965552
coumarinic,0.16691032854664,3.0363099705737104,-6.730523297178997
cucumber,-6.905244821655292,-3.5365991860207737,5.426374075072218
dry,-2.862536963429371,8.563087406470148,0.0029615181910637406
ethereal,-1.3998072294056918,-8.136883661848735,0.5476604634957545
fatty,-3.750441718001808,-0.2583151066992786,7.0923469081689605
fermented,-1.711599461763955,-7.8843181902421335,0.08842200442849577
fishy,16.193266914326866,-0.8804556555775878,-1.4430616402204086
floral,-7.716108539939763,2.416032893377639,-0.12229439046090303
fresh,-6.909139612435189,3.256136677357337,1.154667699667561
fruity,-4.121624635616963,-8.513757821041082,-0.4132328908122185
garlic,14.51581086987322,-4.599787941272394,9.696977019918092
geranium,-8.403418147561183,2.1354566714416743,-0.383774262937991
green,-7.365948430330402,2.0147416823609716,0.8684601016835393
hawthorn,-3.513250514361673,7.535971544875787,-12.610604125510172
hay,3.0396301783987245,3.6433482222516402,-8.580602872646223
herbal,-5.9794293419800155,1.0432738312155219,-3.390573628480831
honey,-8.594354512498718,2.476263007007221,-1.5582848954360666
jasmin,-7.457062008167911,0.352566871074626,0.7560989649246475
ketonic,0.7798569888083086,-8.412715392438056,-7.202596879953024
leathery,7.98701160617993,10.928131636144087,-8.78133463453127
meaty,8.527170698565746,-5.165557427627199,0.9296469838051356
medicinal,7.457653222612904,10.909317651793039,-9.446203438112361
melon,-6.735012106882628,-7.855641737916439,5.5925599121996505
metallic,-0.4235414470416792,1.991507013881896,5.208890719693448
nutty,7.186137926806393,-4.695944337778951,-0.581320559031883
odorless,18.418397449405973,2.358329882760081,-8.702357801257609
oily,-3.9142693630175085,-0.6441636927494446,6.595181630353648
onion,9.139530431570565,-3.9012415127803726,8.647208574517848
orange,-6.232840783307136,1.0505846591167547,8.264051818809406
orris,-8.929457468533725,6.686141785763733,-1.1857270864471556
pear,-7.2789274536986515,-8.981255805790111,3.77487833157603
phenolic,3.345102127463081,7.8205011978144165,-5.606493414578701
pineapple,-5.39514561624122,-10.278851265588768,-0.9279934049441237
powdery,-8.065924319605916,6.954240634041753,-1.7409862312213484
pungent,7.819936527337123,-5.809434862884675,2.476501435549218
raspberry,-9.38983338162226,1.0821953877592356,-5.42101704343706
ripe,1.7834068483970724,-10.81641706720906,-1.9867314593334964
roasted,7.845023928919212,-4.55996055779585,-0.40630317816723044
rose,-8.146421562063525,5.072868831426583,0.8358226715265137
savory,12.772994699267747,-6.531973876611599,2.7183933732390213
smoky,7.088671096704753,10.990626881361518,-9.566396675388962
solvent,9.20779799187364,-1.6697899382380428,-6.234655131282896
spicy,-3.136329582045427,5.365283508074868,-2.360280827113072
sulfurous,8.754862316339796,-6.450938431719001,1.5293287826620356
sweet,-8.478863958256678,1.3821743397924742,-1.2232239770659716
tobacco,0.4514094164570742,2.8344080636774818,-5.725197585685774
vanilla,1.4690336814285967,3.685856919363518,-7.2067636629117
violet,-8.646854528622685,6.876902739980386,-1.1018594761162008
waxy,-4.063752574334438,0.21427117344268512,7.195977227746854
winey,-6.825439193723093,-5.118226295661075,3.6194771071515115
woody,-2.7704900109429063,7.689195836943611,-0.3476274515770884
